"filename", "language", "YAML", "Dart", "Properties", "Markdown", "Shell Script", "Groovy", "Swift", "C++", "JSON", "XML", "Kotlin", "comment", "blank", "total"
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\data\repositories\number_trivia_repository_impl.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\domain\entities\number_trivia.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\domain\repositories\number_trivia_repository.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\domain\usecases\get_concrete_number_trivia.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\domain\usecases\get_random_number_trivia.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\bloc\bloc.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\bloc\number_trivia_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 1, 85
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\bloc\number_trivia_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 21
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\bloc\number_trivia_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1, 33
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\pages\number_trivia_page.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 4, 61
